,Finger,Distance,Frequency,Keyboard
d,L_Middle,0.038,948282,CRULP
9,R_Ring,3.9833295172900325,22013,CRULP
o,R_Ring,1.9208170383762733,2112357,CRULP
s,L_Ring,0.038,1347425,CRULP
n,R_Index,2.139933633585989,2537909,CRULP
4,L_Index,3.975162683964177,22355,CRULP
2,L_Ring,3.975162683964177,103874,CRULP
=,R_Little,4.265957544725349,588,CRULP
3,L_Middle,3.975162683964177,33469,CRULP
e,L_Middle,1.9208170383762733,350849,CRULP
8,R_Middle,3.975162683964177,22231,CRULP
a,L_Little,0.038,4312141,CRULP
1,L_Little,3.975162683964177,82925,CRULP
c,L_Middle,2.1287534527055074,302770,CRULP
y,R_Index,2.9316352569043667,1623646,CRULP
t,L_Index,2.435524765252697,1529610,CRULP
f,L_Index,0.038,317577,CRULP
0,R_Little,3.975162683964177,104913,CRULP
7,R_Index,3.975162683964177,20888,CRULP
-,R_Little,3.8110127219504575,23010,CRULP
;,R_Little,0.038,34679,CRULP
x,L_Ring,2.1287534527055074,347846,CRULP
b,L_Index,3.4078108255508943,1152586,CRULP
q,L_Little,1.9208170383762733,265137,CRULP
[,R_Little,2.435524765252697,957,CRULP
g,L_Index,1.913,510201,CRULP
l,R_Ring,0.038,1168414,CRULP
r,L_Index,1.9208170383762733,2172298,CRULP
p,R_Little,1.9208170383762733,571149,CRULP
h,R_Index,1.913,1078331,CRULP
z,L_Little,2.1287534527055074,300173,CRULP
/,R_Little,2.1287534527055074,3116,CRULP
j,R_Index,0.038,639827,CRULP
.,R_Ring,2.1287534527055074,29998,CRULP
],R_Little,3.908723446592381,878,CRULP
\,R_Little,6.05448776280647,630,CRULP
u,R_Index,1.9208170383762733,397858,CRULP
`,L_Little,4.916332194510744,0,CRULP
k,R_Middle,0.038,2259468,CRULP
5,L_Index,3.80711793394688,19613,CRULP
',R_Little,1.913,107150,CRULP
v,L_Index,2.1287534527055074,177827,CRULP
m,R_Index,2.1287534527055074,1575644,CRULP
w,L_Ring,1.9208170383762733,2027494,CRULP
6,R_Index,4.916332194510744,20942,CRULP
i,R_Middle,1.9208170383762733,3598593,CRULP
",",R_Middle,2.1287534527055074,118272,CRULP
l_shift,L_Little,2.81615136376692,2737904,CRULP
r_shift,R_Little,4.913,1311951,CRULP
d,L_Middle,0.038,2172298,WINDOWS
9,R_Ring,3.9833295172900325,22013,WINDOWS
o,R_Ring,1.9208170383762733,840736,WINDOWS
s,L_Ring,0.038,2281912,WINDOWS
n,R_Index,2.139933633585989,467777,WINDOWS
4,L_Index,3.975162683964177,22355,WINDOWS
2,L_Ring,3.975162683964177,104241,WINDOWS
=,R_Little,4.265957544725349,588,WINDOWS
3,L_Middle,3.975162683964177,33469,WINDOWS
e,L_Middle,1.9208170383762733,825470,WINDOWS
8,R_Middle,3.975162683964177,22231,WINDOWS
a,L_Little,0.038,1576836,WINDOWS
1,L_Little,3.975162683964177,82925,WINDOWS
c,L_Middle,2.1287534527055074,1623646,WINDOWS
y,R_Index,2.9316352569043667,571149,WINDOWS
t,L_Index,2.435524765252697,235515,WINDOWS
f,L_Index,0.038,2537909,WINDOWS
0,R_Little,3.975162683964177,104913,WINDOWS
7,R_Index,3.975162683964177,20888,WINDOWS
-,R_Little,3.8110127219504575,23010,WINDOWS
;,R_Little,0.038,34679,WINDOWS
x,L_Ring,2.1287534527055074,317577,WINDOWS
b,L_Index,3.4078108255508943,346654,WINDOWS
q,L_Little,1.9208170383762733,177827,WINDOWS
[,R_Little,2.435524765252697,957,WINDOWS
g,L_Index,1.913,1168047,WINDOWS
l,R_Ring,0.038,3598593,WINDOWS
r,L_Index,1.9208170383762733,948282,WINDOWS
p,R_Little,1.9208170383762733,513057,WINDOWS
h,R_Index,1.913,2111791,WINDOWS
z,L_Little,2.1287534527055074,265137,WINDOWS
/,R_Little,2.1287534527055074,3116,WINDOWS
j,R_Index,0.038,4312141,WINDOWS
.,R_Ring,2.1287534527055074,29998,WINDOWS
],R_Little,3.908723446592381,878,WINDOWS
\,R_Little,6.05448776280647,630,WINDOWS
u,R_Index,1.9208170383762733,1329964,WINDOWS
`,L_Little,4.916332194510744,0,WINDOWS
k,R_Middle,0.038,2484221,WINDOWS
5,L_Index,3.80711793394688,19613,WINDOWS
',R_Little,1.913,107150,WINDOWS
v,L_Index,2.1287534527055074,1165357,WINDOWS
m,R_Index,2.1287534527055074,350849,WINDOWS
w,L_Ring,1.9208170383762733,249714,WINDOWS
6,R_Index,4.916332194510744,20942,WINDOWS
i,R_Middle,1.9208170383762733,1152586,WINDOWS
",",R_Middle,2.1287534527055074,118272,WINDOWS
l_shift,L_Little,2.81615136376692,1737726,WINDOWS
r_shift,R_Little,4.913,1588071,WINDOWS
d,L_Middle,0.038,951425,IME
9,R_Ring,3.9833295172900325,22029,IME
o,R_Ring,1.9208170383762733,1633613,IME
s,L_Ring,0.038,1713846,IME
n,R_Index,2.139933633585989,2448919,IME
4,L_Index,3.975162683964177,22355,IME
2,L_Ring,3.975162683964177,104258,IME
=,R_Little,4.265957544725349,588,IME
3,L_Middle,3.975162683964177,33469,IME
e,L_Middle,1.9208170383762733,2755590,IME
8,R_Middle,3.975162683964177,22235,IME
a,L_Little,0.038,9004812,IME
1,L_Little,3.975162683964177,83191,IME
c,L_Middle,2.1287534527055074,342680,IME
y,R_Index,2.9316352569043667,1179247,IME
t,L_Index,2.435524765252697,1589929,IME
f,L_Index,0.038,294990,IME
0,R_Little,3.975162683964177,104930,IME
7,R_Index,3.975162683964177,21020,IME
-,R_Little,3.8110127219504575,65683,IME
;,R_Little,0.038,34679,IME
x,L_Ring,2.1287534527055074,3311,IME
b,L_Index,3.4078108255508943,1182995,IME
q,L_Little,1.9208170383762733,275436,IME
[,R_Little,2.435524765252697,878,IME
g,L_Index,1.913,507587,IME
l,R_Ring,0.038,1159749,IME
r,L_Index,1.9208170383762733,2095629,IME
p,R_Little,1.9208170383762733,569882,IME
h,R_Index,1.913,3504718,IME
z,L_Little,2.1287534527055074,436341,IME
/,R_Little,2.1287534527055074,3460,IME
j,R_Index,0.038,549788,IME
.,R_Ring,2.1287534527055074,29998,IME
],R_Little,3.908723446592381,957,IME
\,R_Little,6.05448776280647,631,IME
u,R_Index,1.9208170383762733,1089013,IME
`,L_Little,4.916332194510744,0,IME
k,R_Middle,0.038,2280988,IME
5,L_Index,3.80711793394688,19615,IME
',R_Little,1.913,108075,IME
v,L_Index,2.1287534527055074,50691,IME
m,R_Index,2.1287534527055074,1599645,IME
w,L_Ring,1.9208170383762733,373878,IME
6,R_Index,4.916332194510744,20942,IME
i,R_Middle,1.9208170383762733,3844145,IME
",",R_Middle,2.1287534527055074,118272,IME
l_shift,L_Little,2.81615136376692,146276,IME
r_shift,R_Little,4.913,367,IME
